Case ID,Study ID,Authors,Year,Journal,Journal IF,Source of data,Biome,Plant species,Plant type,Duration,Inductor organism,Inductor species,Inductor order,Weeks after induction,Herbivore stage inductor,Herbivore guild inductor,Herbivore specialization inductor,Pathway,Type of study,Type of interaction,Tissue induced,Tissue consumed,Insect response type,Organism,Herbivore species,Order,Herbivore stage,Herbivore guild,Herbivore specialization,Consp.heterosp,Mult.comp,M.control,SD.control,N.control,M.treatment,SD.treatment,N.treatment,Author,notes
389,59,Hunt-Joshi and Blossey,2005,Oecologia,2.902,figure 5,temperate,Lythrum salicaria,herbaceous,perennial,herbivore,Hylobius transversovittatus,Coleoptera,NA,young,chewer,specialist,JA_JA,field,distant,roots,leaves,number of eggs,herbivore,Galerucella calmariensis,Coleoptera,young,chewer,specialist,H,389,225,15.625,10,251.563,28.125,10,Hunt-Joshi,
390,60,Barber et al,2015,Journal of Ecology,6.18,figure 2,tropical,Cucumis sativus,herbaceous,annual,herbivore,Acalymma vitattum,Coleoptera,8,young,chewer,specialist,JA_JA,field,distant,roots,leaves,damage,herbivore,Acalymma vitattum,Coleoptera,adult,chewer,specialist,C,390-391-392,2.784,0.387,60,2.768,0.402,60,Barber,
391,60,Barber et al,2015,Journal of Ecology,6.18,figure 2,tropical,Cucumis sativus,herbaceous,annual,herbivore,Acalymma vitattum,Coleoptera,8,young,chewer,specialist,JA_JA,field,distant,roots,leaves,damage,herbivore,Acalymma vitattum,Coleoptera,adult,chewer,specialist,C,390-391-392,2.784,0.387,60,2.134,0.356,60,Barber,
392,60,Barber et al,2015,Journal of Ecology,6.18,figure 2,tropical,Cucumis sativus,herbaceous,annual,herbivore,Acalymma vitattum,Coleoptera,8,young,chewer,specialist,JA_JA,field,distant,roots,leaves,damage,herbivore,Acalymma vitattum,Coleoptera,adult,chewer,specialist,C,390-391-392,2.784,0.387,60,3.093,0.418,60,Barber,
393,60,Barber et al,2015,Journal of Ecology,6.18,figure 2,tropical,Cucumis sativus,herbaceous,annual,herbivore,Acalymma vitattum,Coleoptera,8,young,chewer,specialist,JA_SA,field,distant,roots,leaves,damage,biotrophic pathogen ,Pseudoperonospora cubensis,Peronosporales,NA,NA,generalist,H,393-394-395,3.758,0.155,60,3.325,0.201,60,Barber,
394,60,Barber et al,2015,Journal of Ecology,6.18,figure 2,tropical,Cucumis sativus,herbaceous,annual,herbivore,Acalymma vitattum,Coleoptera,8,young,chewer,specialist,JA_SA,field,distant,roots,leaves,damage,biotrophic pathogen ,Pseudoperonospora cubensis,Peronosporales,NA,NA,generalist,H,393-394-395,3.758,0.155,60,3.216,0.155,60,Barber,
395,60,Barber et al,2015,Journal of Ecology,6.18,figure 2,tropical,Cucumis sativus,herbaceous,annual,herbivore,Acalymma vitattum,Coleoptera,8,young,chewer,specialist,JA_SA,field,distant,roots,leaves,damage,biotrophic pathogen ,Pseudoperonospora cubensis,Peronosporales,NA,NA,generalist,H,393-394-395,3.758,0.155,60,3.263,0.201,60,Barber,
396,61,Branson,2010,Environmental Entomology,1.295,figure 1,temperate,several grasses,herbaceous,annual,herbivore,Ageneotettix deorum,Orthoptera,3,young,chewer,generalist,JA_JA,field,local,leaves,leaves,survival,herbivore,Ageneotettix deorum,Orthoptera,young,chewer,generalist,C,396,0.778,0.038,7,0.68,0.084,7,Branson,
397,61,Branson,2010,Environmental Entomology,1.295,figure 1,temperate,several grasses,herbaceous,annual,herbivore,Ageneotettix deorum,Orthoptera,3,young,chewer,generalist,JA_JA,field,local,leaves,leaves,survival,herbivore,Ageneotettix deorum,Orthoptera,young,chewer,generalist,C,397,7.965,0.46,7,6.761,0.779,7,Branson,
398,61,Branson,2010,Environmental Entomology,1.295,figure 2,temperate,several grasses,herbaceous,annual,herbivore,Ageneotettix deorum,Orthoptera,3,young,chewer,generalist,JA_JA,field,local,leaves,leaves,survival,herbivore,Ageneotettix deorum,Orthoptera,young,chewer,generalist,C,398,0.66,0.039,7,0.446,0.06,7,Branson,
399,61,Branson,2010,Environmental Entomology,1.295,figure 2,temperate,several grasses,herbaceous,annual,herbivore,Ageneotettix deorum,Orthoptera,3,young,chewer,generalist,JA_JA,field,local,leaves,leaves,survival,herbivore,Ageneotettix deorum,Orthoptera,young,chewer,generalist,C,399,13.813,0.791,7,9.137,1.439,7,Branson,
400,62,De Vos et al,2006,Plant Physiology,6.28,figure 1,temperate,Arabidopsis thaliana,herbaceous,annual,herbivore,pieris rapae,Lepidoptera,0.57,young,chewer,specialist,JA_JA,controlled,local,leaves,leaves,mass,herbivore,Pieris rapae,Lepidoptera,young,chewer,specialist,C,400,2.747,0.267,20,3.593,0.333,20,De,
401,62,De Vos et al,2006,Plant Physiology,6.28,figure 1,temperate,Arabidopsis thaliana,herbaceous,annual,herbivore,pieris rapae,Lepidoptera,1,young,chewer,specialist,JA_JA,controlled,local,leaves,leaves,mass,herbivore,Pieris rapae,Lepidoptera,young,chewer,specialist,C,401,30,2,20,18,2.107,20,De,
402,62,De Vos et al,2006,Plant Physiology,6.28,figure 1,temperate,Arabidopsis thaliana,herbaceous,annual,herbivore,pieris rapae,Lepidoptera,1.43,young,chewer,specialist,JA_JA,controlled,local,leaves,leaves,mass,herbivore,Pieris rapae,Lepidoptera,young,chewer,specialist,C,402,117.333,10,20,75.333,12,20,De,
403,62,De Vos et al,2006,Plant Physiology,6.28,figure 3,temperate,Arabidopsis thaliana,herbaceous,annual,herbivore,pieris rapae,Lepidoptera,1,young,chewer,specialist,JA_JA,controlled,local,leaves,leaves,damage,necrotrophic pathogen,Xanthomonas campestris,Xanthomonadales,NA,NA,generalist,H,403-404,100,4.186,25,51.628,1.86,25,De,
404,62,De Vos et al,2006,Plant Physiology,6.28,figure 3,temperate,Arabidopsis thaliana,herbaceous,annual,herbivore,pieris rapae,Lepidoptera,1,young,chewer,specialist,JA_JA,controlled,local,leaves,leaves,damage,necrotrophic pathogen,Xanthomonas campestris,Xanthomonadales,NA,NA,generalist,H,403-404,100,4.186,25,86.047,3.721,25,De,
405,62,De Vos et al,2006,Plant Physiology,6.28,figure 3,temperate,Arabidopsis thaliana,herbaceous,annual,herbivore,pieris rapae,Lepidoptera,1,young,chewer,specialist,JA_SA,controlled,local,leaves,leaves,damage,biotrophic pathogen,Pseudomonas syringae,Pseudomonadales,NA,NA,generalist,H,405,101.395,1.395,25,67.907,4.186,25,De,
406,62,De Vos et al,2006,Plant Physiology,6.28,figure 4,temperate,Arabidopsis thaliana,herbaceous,annual,herbivore,pieris rapae,Lepidoptera,1,young,chewer,specialist,JA_SA,controlled,local,leaves,leaves,damage,biotrophic pathogen,Turnip crinkle virus,NA,NA,NA,generalist,H,406-407,0.452,0.016,15,0.249,0.031,15,De,
407,62,De Vos et al,2006,Plant Physiology,6.28,figure 4,temperate,Arabidopsis thaliana,herbaceous,annual,herbivore,pieris rapae,Lepidoptera,1,young,chewer,specialist,JA_SA,controlled,local,leaves,leaves,damage,biotrophic pathogen,Turnip crinkle virus,NA,NA,NA,generalist,H,406-407,0.452,0.016,15,0.351,0.029,15,De,
408,62,De Vos et al,2006,Plant Physiology,6.28,figure 4,temperate,Arabidopsis thaliana,herbaceous,annual,herbivore,pieris rapae,Lepidoptera,1,young,chewer,specialist,JA_SA,controlled,local,leaves,leaves,damage,biotrophic pathogen,Turnip crinkle virus,NA,NA,NA,generalist,H,408-409,6.486,0.4,15,1.457,0.229,15,De,
409,62,De Vos et al,2006,Plant Physiology,6.28,figure 4,temperate,Arabidopsis thaliana,herbaceous,annual,herbivore,pieris rapae,Lepidoptera,1,young,chewer,specialist,JA_SA,controlled,local,leaves,leaves,damage,biotrophic pathogen,Turnip crinkle virus,NA,NA,NA,generalist,H,408-409,6.486,0.4,15,2.629,0.286,15,De,
410,63,Lind et al,2012,Environmental Entomology,1.295,figure 3,temperate,Lindera benzoin,woody,perennial,herbivore,Odocoileus virginianus,Artiodactyla,8,adult,chewer,generalist,JA_JA,field,local,leaves,leaves,damage,herbivore,Several species,NA,NA,NA,NA,H,410,0.044,0.005,25,0.023,0.004,25,Lind,
411,64,Stout et al,1998,Oecologia,2.902,table 1,temperate,Lycopersicon esculentum,herbaceous,annual,herbivore,Helicoverpa zea,Lepidoptera,2,young,chewer,generalist,JA_SA,controlled,local,leaves,leaves,abundance,herbivore,Macrosiphum euphorbiae,Hemiptera,adult,piercing-sucking,generalist,H,411,78.2,22.2,12,55.1,11.5,12,Stout,
412,64,Stout et al,1998,Oecologia,2.902,table 1,temperate,Lycopersicon esculentum,herbaceous,annual,herbivore,Helicoverpa zea,Lepidoptera,2,young,chewer,generalist,JA_SA,controlled,local,leaves,leaves,abundance,herbivore,Macrosiphum euphorbiae,Hemiptera,adult,piercing-sucking,generalist,H,412,18.2,6.5,12,7.1,2.3,12,Stout,
413,64,Stout et al,1998,Oecologia,2.902,table 1,temperate,Lycopersicon esculentum,herbaceous,annual,herbivore,Helicoverpa zea,Lepidoptera,2,young,chewer,generalist,JA_SA,controlled,local,leaves,leaves,abundance,herbivore,Macrosiphum euphorbiae,Hemiptera,adult,piercing-sucking,generalist,H,413,19,5.7,12,3.9,2.8,12,Stout,
414,64,Stout et al,1998,Oecologia,2.902,table 1,temperate,Lycopersicon esculentum,herbaceous,annual,herbivore,Helicoverpa zea,Lepidoptera,2,young,chewer,generalist,JA_JA,controlled,local,leaves,leaves,growth,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,H,414,0.74,0.07,12,0.46,0.07,12,Stout,
415,64,Stout et al,1998,Oecologia,2.902,table 1,temperate,Lycopersicon esculentum,herbaceous,annual,herbivore,Helicoverpa zea,Lepidoptera,2,young,chewer,generalist,JA_JA,controlled,local,leaves,leaves,growth,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,H,415,0.54,0.06,12,0.31,0.07,12,Stout,
416,64,Stout et al,1998,Oecologia,2.902,table 2,temperate,Lycopersicon esculentum,herbaceous,annual,herbivore,Helicoverpa zea,Lepidoptera,1.43,young,chewer,generalist,JA_JA,controlled,local,leaves,leaves,growth,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,H,416,0.94,0.05,12,0.56,0.06,12,Stout,
417,64,Stout et al,1998,Oecologia,2.902,table 2,temperate,Lycopersicon esculentum,herbaceous,annual,herbivore,Helicoverpa zea,Lepidoptera,1.43,young,chewer,generalist,JA_JA,controlled,local,leaves,leaves,growth,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,H,417,0.59,0.03,12,0.3,0.07,12,Stout,
418,64,Stout et al,1998,Oecologia,2.902,table 2,temperate,Lycopersicon esculentum,herbaceous,annual,herbivore,Helicoverpa zea,Lepidoptera,1.43,young,chewer,generalist,JA_SA,controlled,local,leaves,leaves,abundance,herbivore,Tetranychus urticae,Prostigmata,adult,piercing-sucking,generalist,H,418,21,4.4,12,14.1,5.4,12,Stout,
419,64,Stout et al,1998,Oecologia,2.902,table 2,temperate,Lycopersicon esculentum,herbaceous,annual,herbivore,Helicoverpa zea,Lepidoptera,1.43,young,chewer,generalist,JA_SA,controlled,local,leaves,leaves,abundance,herbivore,Tetranychus urticae,Prostigmata,adult,piercing-sucking,generalist,H,419,2.3,0.5,12,2.7,1.2,12,Stout,
420,64,Stout et al,1998,Oecologia,2.902,table 2,temperate,Lycopersicon esculentum,herbaceous,annual,herbivore,Helicoverpa zea,Lepidoptera,1.43,young,chewer,generalist,JA_SA,controlled,local,leaves,leaves,abundance,herbivore,Tetranychus urticae,Prostigmata,adult,piercing-sucking,generalist,H,420,13.8,2.7,12,7.4,2.1,12,Stout,
421,64,Stout et al,1998,Oecologia,2.902,table 3,temperate,Lycopersicon esculentum,herbaceous,annual,herbivore,Helicoverpa zea,Lepidoptera,1.43,young,chewer,generalist,JA_SA,controlled,local,leaves,leaves,abundance,herbivore,Pseudomonas syringae,Pseudomonadales,NA,NA,generalist,H,421,19.43,3.31,12,12.8,1.58,12,Stout,
422,64,Stout et al,1998,Oecologia,2.902,table 3,temperate,Lycopersicon esculentum,herbaceous,annual,herbivore,Helicoverpa zea,Lepidoptera,1.43,young,chewer,generalist,JA_SA,controlled,local,leaves,leaves,abundance,herbivore,Pseudomonas syringae,Pseudomonadales,NA,NA,generalist,H,422,5.14,0.59,12,3.14,0.87,12,Stout,
423,65,Masters ,1995,Acta Oecologica,1.42,figure 1,temperate,Sonchus oleraceus,herbaceous,annual,herbivore,two species,NA,16,young,chewer,generalist,JA_SA,field,distant,roots,leaves,abundance,herbivore,myzus persicae,Hemiptera,adult,piercing-sucking,generalist,H,423-424,19.804,1.793,5,6.745,1.793,5,Masters,
424,65,Masters ,1995,Acta Oecologica,1.42,figure 1,temperate,Sonchus oleraceus,herbaceous,annual,herbivore,two species,NA,16,young,chewer,generalist,JA_SA,field,distant,roots,leaves,abundance,herbivore,myzus persicae,Hemiptera,adult,piercing-sucking,generalist,H,423-424,19.804,1.793,5,4.784,1.793,5,Masters,
425,66,Heard,1995,"Entomologia, Experimentalis et Applicata",1.442,figure 2,tropical,Mimosa pigra,woody,perennial,herbivore,Coelocephalapion aculeatum,Coleoptera,1,adult,chewer,specialist,JA_JA,controlled,local,flowers,flowers,number of eggs,herbivore,Coelocephalapion aculeatum,Coleoptera,adult,chewer,specialist,C,425,9.61,1.818,14,3.896,1.558,14,Heard,
426,66,Heard,1995,"Entomologia, Experimentalis et Applicata",1.442,figure 2,tropical,Mimosa pigra,woody,perennial,herbivore,Coelocephalapion aculeatum,Coleoptera,1,adult,chewer,specialist,JA_JA,controlled,local,flowers,flowers,damage,herbivore,Coelocephalapion aculeatum,Coleoptera,adult,chewer,specialist,C,426,81.818,10.13,14,77.922,8.312,14,Heard,
427,66,Heard,1995,"Entomologia, Experimentalis et Applicata",1.442,figure 5,tropical,Mimosa pigra,woody,perennial,herbivore,Coelocephalapion aculeatum,Coleoptera,0.43,young,chewer,specialist,JA_JA,controlled,local,flowers,flowers,number of eggs,herbivore,Coelocephalapion aculeatum,Coleoptera,adult,chewer,specialist,C,427,12.468,1.558,20,5.714,0.779,20,Heard,
428,66,Heard,1995,"Entomologia, Experimentalis et Applicata",1.442,figure 5,tropical,Mimosa pigra,woody,perennial,herbivore,Coelocephalapion aculeatum,Coleoptera,0.43,young,chewer,specialist,JA_JA,controlled,local,flowers,flowers,damage,herbivore,Coelocephalapion aculeatum,Coleoptera,adult,chewer,specialist,C,428,69.87,12.468,20,74.545,15.325,20,Heard,
429,66,Heard,1995,"Entomologia, Experimentalis et Applicata",1.442,figure 6,tropical,Mimosa pigra,woody,perennial,herbivore,Coelocephalapion aculeatum,Coleoptera,0.29,young,chewer,specialist,JA_JA,controlled,local,flowers,flowers,number of eggs,herbivore,Coelocephalapion aculeatum,Coleoptera,adult,chewer,specialist,C,429,14.706,1.765,9,16.471,1.765,9,Heard,
430,66,Heard,1995,"Entomologia, Experimentalis et Applicata",1.442,figure 6,tropical,Mimosa pigra,woody,perennial,herbivore,Coelocephalapion aculeatum,Coleoptera,0.29,young,chewer,specialist,JA_JA,controlled,local,flowers,flowers,damage,herbivore,Coelocephalapion aculeatum,Coleoptera,adult,chewer,specialist,C,430,87.941,7.353,9,104.706,7.647,9,Heard,
431,67,Bandoly et al,2015,Plant Journal ,5.468,figure 1,temperate,Nicotiana attenuata,herbaceous,annual,herbivore,Spodoptera exigua,Lepidoptera,1.57,young,chewer,generalist,JA_JA,controlled,local,leaves,leaves,mortality,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,C,431,67.556,8.444,28,77.333,8.444,28,Bandoly,
432,67,Bandoly et al,2015,Plant Journal ,5.468,figure 1,temperate,Nicotiana attenuata,herbaceous,annual,herbivore,Spodoptera exigua,Lepidoptera,1.57,young,chewer,generalist,JA_JA,controlled,local,leaves,leaves,mass,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,C,432,1.539,0.579,28,0.382,0.077,28,Bandoly,
433,67,Bandoly et al,2015,Plant Journal ,5.468,figure 1,temperate,Nicotiana attenuata,herbaceous,annual,herbivore,Spodoptera exigua,Lepidoptera,1.57,young,chewer,generalist,JA_JA,controlled,local,leaves,leaves,damage,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,C,433,19.157,1.524,18,3.253,1.325,18,Bandoly,
434,68,Rostas et al ,2006,Journal of Chemical Ecology,3.151,figure 3,tropical,Zea mays,herbaceous,annual,necrotrophic pathogen,Setosphaeria turcica,Pleosporales,2,NA,NA,generalist,JA_JA,controlled,local,leaves,leaves,weight,herbivore,Spodoptera littoralis,Lepidoptera,young,chewer,generalist,H,434,322,68.681,15,393,53.6,15,Rostas,
435,69,Johnson et al ,2003,Oecologia,2.902,table 2,temperate,Betula pendula,woody,perennial,necrotrophic pathogen,Marssonina betulae,Helotiales,4,NA,NA,specialist,JA_SA,controlled,local,leaves,leaves,weight,herbivore,Euceraphis betulae,Hemiptera,adult,piercing-sucking,specialist,H,435,1.79,0.06,15,2.04,0.07,15,Johnson,
436,69,Johnson et al ,2003,Oecologia,2.902,table 2,temperate,Betula pendula,woody,perennial,necrotrophic pathogen,Marssonina betulae,Helotiales,4,NA,NA,specialist,JA_SA,controlled,local,leaves,leaves,size,herbivore,Euceraphis betulae,Hemiptera,adult,piercing-sucking,specialist,H,436,2.46,0.07,15,2.78,0.08,15,Johnson,
437,69,Johnson et al ,2003,Oecologia,2.902,table 2,temperate,Betula pendula,woody,perennial,necrotrophic pathogen,Marssonina betulae,Helotiales,4,NA,NA,specialist,JA_SA,controlled,local,leaves,leaves,reproduction,herbivore,Euceraphis betulae,Hemiptera,adult,piercing-sucking,specialist,H,437,5.6,0.43,11,7.1,0.44,11,Johnson,
438,69,Johnson et al ,2003,Oecologia,2.902,table 2,temperate,Betula pendula,woody,perennial,necrotrophic pathogen,Marssonina betulae,Helotiales,4,NA,NA,specialist,JA_SA,controlled,local,leaves,leaves,size,herbivore,Euceraphis betulae,Hemiptera,adult,piercing-sucking,specialist,H,438,0.75,0.03,11,0.91,0.04,11,Johnson,
439,70,Kruess,2002,Oecologia,2.902,text,temperate,Cirsium arvense,herbaceous,perennial,necrotrophic pathogen,Phoma destructiva,Pleosporales,NA,NA,NA,generalist,JA_JA,controlled,local,leaves,leaves,number of eggs,herbivore,Cassida rubiginosa,Coleoptera,adult,chewer,specialist,H,439,19.8,2.7,6,9.9,2.7,6,Kruess,
440,71,Kluth et al,2002,Oecologia,2.902,figure 1,temperate,Cirsium arvense,herbaceous,perennial,biotrophic pathogen,Puccinia punctiformis,Pucciniales,4,NA,NA,specialist,SA_SA,controlled,local,leaves,leaves,abundance,herbivore,Aphis fabae,Hemiptera,adult,piercing-sucking,generalist,H,440,12.08,1.38,32,10.68,0.69,32,Kluth,
441,71,Kluth et al,2002,Oecologia,2.902,figure 1,temperate,Cirsium arvense,herbaceous,perennial,biotrophic pathogen,Puccinia punctiformis,Pucciniales,4,NA,NA,specialist,SA_SA,controlled,local,leaves,leaves,abundance,herbivore,Uroleucon cirsii,Hemiptera,adult,piercing-sucking,specialist,H,441,15.17,1.93,30,25.19,1.93,30,Kluth,
442,72,Tack et al,2012,Ecology Letters,10.772,text,temperate,Quercus robur,woody,perennial,biotrophic pathogen,Erysiphe alphitoides,Erysiphales,NA,NA,NA,specialist,SA_JA,field,local,leaves,leaves,weight,herbivore,Tischeria ekebladella,Lepidoptera,young,miner,specialist,H,442,1.09,0.06,52,1.25,0.08,52,Tack,
443,72,Tack et al,2012,Ecology Letters,10.772,text,temperate,Quercus robur,woody,perennial,biotrophic pathogen,Erysiphe alphitoides,Erysiphales,3,NA,NA,specialist,SA_JA,field,local,leaves,leaves,number of eggs,herbivore,Tischeria ekebladella,Lepidoptera,young,miner,specialist,H,443,1.46,0.44,50,1.09,0.34,50,Tack,
444,73,Swope and Parker,2010,Ecology,4.733,text,temperate,Centaurea solstitialis,herbaceous,annual,biotrophic pathogen,Puccinia jaceae,Pucciniales,NA,NA,NA,specialist,SA_JA,field,distant,leaves,seeds,damage,herbivore,Eustenopus villosus,Coleoptera,adult,chewer,specialist,H,444,15.9,1.5,100,15.2,2.3,100,Swope,
445,73,Swope and Parker,2010,Ecology,4.733,text,temperate,Centaurea solstitialis,herbaceous,annual,biotrophic pathogen,Puccinia jaceae,Pucciniales,NA,NA,NA,specialist,SA_JA,field,distant,leaves,seeds,damage,herbivore,Eustenopus villosus,Coleoptera,adult,chewer,specialist,H,445,15.6,1.6,100,13.6,2.7,100,Swope,
446,73,Swope and Parker,2010,Ecology,4.733,text,temperate,Centaurea solstitialis,herbaceous,annual,biotrophic pathogen,Puccinia jaceae,Pucciniales,NA,NA,NA,specialist,SA_JA,field,distant,leaves,seeds,damage,herbivore,Eustenopus villosus,Coleoptera,adult,chewer,specialist,H,446,55,5.8,100,50,6.5,100,Swope,
447,73,Swope and Parker,2010,Ecology,4.733,figure 3,temperate,Centaurea solstitialis,herbaceous,annual,biotrophic pathogen,Puccinia jaceae,Pucciniales,NA,NA,NA,specialist,SA_JA,field,distant,leaves,seeds,damage,herbivore,Eustenopus villosus,Coleoptera,adult,chewer,specialist,H,447,0.79,0.03,48,0.45,0.03,44,Swope,
448,74,Eyles et al,2007,Oecologia,2.902,figure 1,temperate,Pinus nigra,woody,perennial,necrotrophic pathogen,Sphaeropsis sapinea,Incertae sedis,2,NA,NA,specialist,JA_JA,field,local,leaves,leaves,growth,herbivore,Neodiprion sertifer,hymenoptera,young,chewer,specialist,H,448-449,30,1.571,21,28.714,1.429,21,Eyles,
449,74,Eyles et al,2007,Oecologia,2.902,figure 1,temperate,Pinus nigra,woody,perennial,herbivore,Neodiprion sertifer,hymenoptera,2,young,chewer,specialist,JA_JA,field,local,leaves,leaves,growth,herbivore,Neodiprion sertifer,hymenoptera,young,chewer,specialist,C,448-449,30,1.571,21,25.143,0.714,21,Eyles,
450,74,Eyles et al,2007,Oecologia,2.902,figure 1,temperate,Pinus nigra,woody,perennial,necrotrophic pathogen,Sphaeropsis sapinea,Incertae sedis,2,NA,NA,specialist,JA_JA,field,local,leaves,leaves,growth,herbivore,Neodiprion sertifer,hymenoptera,young,chewer,specialist,H,450-451,31.571,2,21,30.429,1.429,21,Eyles,
451,74,Eyles et al,2007,Oecologia,2.902,figure 1,temperate,Pinus nigra,woody,perennial,herbivore,Neodiprion sertifer,hymenoptera,2,young,chewer,specialist,JA_JA,field,local,leaves,leaves,growth,herbivore,Neodiprion sertifer,hymenoptera,young,chewer,specialist,C,450-451,31.571,2,21,31.429,1,21,Eyles,
452,74,Eyles et al,2007,Oecologia,2.902,figure 2,temperate,Pinus nigra,woody,perennial,necrotrophic pathogen,Sphaeropsis sapinea,Incertae sedis,2,NA,NA,specialist,JA_JA,field,local,leaves,leaves,damage,necrotrophic pathogen,Sphaeropsis sapinea,Incertae sedis,NA,NA,specialist,C,452-453,22.667,1.444,7,12.889,1,7,Eyles,
453,74,Eyles et al,2007,Oecologia,2.902,figure 2,temperate,Pinus nigra,woody,perennial,herbivore,Neodiprion sertifer,hymenoptera,2,young,chewer,specialist,JA_JA,field,local,leaves,leaves,damage,necrotrophic pathogen,Sphaeropsis sapinea,Incertae sedis,NA,NA,specialist,H,452-453,22.667,1.444,7,20.667,1.111,7,Eyles,
454,74,Eyles et al,2007,Oecologia,2.902,figure 2,temperate,Pinus nigra,woody,perennial,necrotrophic pathogen,Sphaeropsis sapinea,Incertae sedis,2,NA,NA,specialist,JA_JA,field,local,leaves,leaves,damage,necrotrophic pathogen,Sphaeropsis sapinea,Incertae sedis,NA,NA,specialist,C,454-455,45.6,3.4,7,31,1.4,7,Eyles,
455,74,Eyles et al,2007,Oecologia,2.902,figure 2,temperate,Pinus nigra,woody,perennial,herbivore,Neodiprion sertifer,hymenoptera,2,young,chewer,specialist,JA_JA,field,local,leaves,leaves,damage,necrotrophic pathogen,Sphaeropsis sapinea,Incertae sedis,NA,NA,specialist,H,454-455,45.6,3.4,7,36.8,2,7,Eyles,
456,75,Mouttet et al,2013,Oecologia,2.902,figure 2,tropical,Solanum lycopersicum,herbaceous,annual,biotrophic pathogen,Oidium neolycopersici,Erysiphales,0.14,NA,NA,specialist,SA_SA,controlled,local,leaves,leaves,abundance,herbivore,Bemisia tabaci,homoptera,young,piercing-sucking,generalist,H,456-457-458-459,4.43,0.54,18,3.17,0.47,18,Mouttet,
457,75,Mouttet et al,2013,Oecologia,2.902,figure 2,tropical,Solanum lycopersicum,herbaceous,annual,biotrophic pathogen,Oidium neolycopersici,Erysiphales,0.14,NA,NA,specialist,SA_SA,controlled,local,leaves,leaves,abundance,herbivore,Bemisia tabaci,homoptera,young,piercing-sucking,generalist,H,456-457-458-459,4.43,0.54,18,2.24,0.46,18,Mouttet,
458,75,Mouttet et al,2013,Oecologia,2.902,figure 2,tropical,Solanum lycopersicum,herbaceous,annual,biotrophic pathogen,Oidium neolycopersici,Erysiphales,0.57,NA,NA,specialist,SA_SA,controlled,local,leaves,leaves,abundance,herbivore,Bemisia tabaci,homoptera,young,piercing-sucking,generalist,H,456-457-458-459,4.43,0.54,18,1.08,0.19,18,Mouttet,
459,75,Mouttet et al,2013,Oecologia,2.902,figure 2,tropical,Solanum lycopersicum,herbaceous,annual,biotrophic pathogen,Oidium neolycopersici,Erysiphales,0.57,NA,NA,specialist,SA_SA,controlled,local,leaves,leaves,abundance,herbivore,Bemisia tabaci,homoptera,young,piercing-sucking,generalist,H,456-457-458-459,4.43,0.54,18,2.14,0.48,18,Mouttet,
460,75,Mouttet et al,2013,Oecologia,2.902,figure 4,tropical,Solanum lycopersicum,herbaceous,annual,biotrophic pathogen,Oidium neolycopersici,Erysiphales,1,NA,NA,specialist,SA_JA,controlled,local,leaves,leaves,weight,herbivore,Tuta absoluta,Lepidoptera,young,miner,specialist,H,460-461,2.39,0.32,27,2.08,0.15,21,Mouttet,
461,75,Mouttet et al,2013,Oecologia,2.902,figure 4,tropical,Solanum lycopersicum,herbaceous,annual,biotrophic pathogen,Oidium neolycopersici,Erysiphales,1,NA,NA,specialist,SA_JA,controlled,local,leaves,leaves,weight,herbivore,Tuta absoluta,Lepidoptera,young,miner,specialist,H,460-461,2.39,0.32,27,1.48,0.29,23,Mouttet,
462,75,Mouttet et al,2013,Oecologia,2.902,figure 4,tropical,Solanum lycopersicum,herbaceous,annual,biotrophic pathogen,Oidium neolycopersici,Erysiphales,1,NA,NA,specialist,SA_JA,controlled,local,leaves,leaves,developmental_time,herbivore,Tuta absoluta,Lepidoptera,young,miner,specialist,H,462-463,27.18,0.6,27,29.14,0.44,21,Mouttet,
463,75,Mouttet et al,2013,Oecologia,2.902,figure 4,tropical,Solanum lycopersicum,herbaceous,annual,biotrophic pathogen,Oidium neolycopersici,Erysiphales,1,NA,NA,specialist,SA_JA,controlled,local,leaves,leaves,developmental_time,herbivore,Tuta absoluta,Lepidoptera,young,miner,specialist,H,462-463,27.18,0.6,27,29.34,0.96,23,Mouttet,
464,75,Mouttet et al,2013,Oecologia,2.902,figure 3,tropical,Solanum lycopersicum,herbaceous,annual,herbivore,Tuta absoluta,Lepidoptera,0.14,young,miner,specialist,JA_SA,controlled,local,leaves,leaves,damage,biotrophic pathogen,Oidium neolycopersici,Erysiphales,NA,NA,specialist,H,464-465-466-467,8.432,0.649,18,9,0.73,18,Mouttet,
465,75,Mouttet et al,2013,Oecologia,2.902,figure 3,tropical,Solanum lycopersicum,herbaceous,annual,herbivore,Tuta absoluta,Lepidoptera,0.14,young,miner,specialist,JA_SA,controlled,local,leaves,leaves,damage,biotrophic pathogen,Oidium neolycopersici,Erysiphales,NA,NA,specialist,H,464-465-466-467,8.432,0.649,18,9.73,0.486,18,Mouttet,
