Case ID,Study ID,Authors,Year,Journal,Journal IF,Source of data,Biome,Plant species,Plant type,Duration,Inductor organism,Inductor species,Inductor order,Weeks after induction,Herbivore stage inductor,Herbivore guild inductor,Herbivore specialization inductor,Pathway,Type of study,Type of interaction,Tissue induced,Tissue consumed,Insect response type,Organism,Herbivore species,Order,Herbivore stage,Herbivore guild,Herbivore specialization,Consp.heterosp,Mult.comp,M.control,SD.control,N.control,M.treatment,SD.treatment,N.treatment,Author,notes
27,3,Poelman et al,2010,Ecological Entomology,1.687,figure 2,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,15,young,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Plutella xylostella,Lepidoptera,adult,chewer,specialist,H,27,2.747,0.515,10,3.435,0.375,10,Poelman,
28,3,Poelman et al,2010,Ecological Entomology,1.687,figure 2,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,15,young,chewer,specialist,JA_SA,field,local,leaves,leaves,abundance,herbivore,Brevicoryne brassicae,Hemiptera,adult,piercing-sucking,specialist,H,28,4.163,3.712,10,4.12,0.838,10,Poelman,
29,3,Poelman et al,2010,Ecological Entomology,1.687,figure 2,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,15,young,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Phyllotreta atra,Coleoptera,adult,chewer,specialist,H,29,0.816,0.236,10,1.413,0.216,10,Poelman,
30,3,Poelman et al,2010,Ecological Entomology,1.687,figure 2,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,15,young,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Phyllotreta undulata,Coleoptera,adult,chewer,specialist,H,30,5.174,0.408,10,7.082,0.322,10,Poelman,
31,3,Poelman et al,2010,Ecological Entomology,1.687,figure 2,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,15,young,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Mamestra brassicae,Lepidoptera,adult,chewer,generalist,H,31,0.881,0.152,10,0.729,0.172,10,Poelman,
32,3,Poelman et al,2010,Ecological Entomology,1.687,figure 2,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,15,young,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Autographa gamma,Lepidoptera,adult,chewer,generalist,H,32,0.198,0.078,10,0.152,0.061,10,Poelman,
33,3,Poelman et al,2010,Ecological Entomology,1.687,figure 2,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,15,young,chewer,specialist,JA_SA,field,local,leaves,leaves,abundance,herbivore,Myzus persicae,Hemiptera,adult,piercing-sucking,generalist,H,33,2.167,0.716,10,2.511,0.732,10,Poelman,
34,3,Poelman et al,2010,Ecological Entomology,1.687,figure 2,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,15,young,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,other aphids,Hemiptera,adult,piercing-sucking,generalist,H,34,0.472,0.13,10,0.515,0.156,10,Poelman,
35,4,Poelman et al,2008,Molecular Ecology,5.947,figure 3,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,1,young,chewer,specialist,JA_JA,controlled,local,leaves,leaves,mass,herbivore,Pieris rapae,Lepidoptera,young,chewer,specialist,C,35,29.945,0.748,15,20.552,0.702,15,Poelman,
36,4,Poelman et al,2008,Molecular Ecology,5.947,figure 3,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,1,young,chewer,specialist,JA_JA,controlled,local,leaves,leaves,mass,herbivore,Plutella xylostella,Lepidoptera,young,chewer,specialist,H,36,6.902,0.155,15,4.924,0.243,15,Poelman,
37,4,Poelman et al,2008,Molecular Ecology,5.947,figure 4,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,1,young,chewer,specialist,JA_JA,controlled,local,leaves,leaves,mass,herbivore,Mamestra brassicae,Lepidoptera,young,chewer,generalist,H,37,7.834,0.403,15,5.862,0.39,15,Poelman,
38,4,Poelman et al,2008,Molecular Ecology,5.947,figure 3,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,1,young,chewer,specialist,JA_JA,controlled,local,leaves,leaves,mass,herbivore,Pieris rapae,Lepidoptera,young,chewer,specialist,H,38,26.37,0.936,15,22.161,0.754,15,Poelman,
39,4,Poelman et al,2008,Molecular Ecology,5.947,figure 3,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,1,young,chewer,specialist,JA_JA,controlled,local,leaves,leaves,mass,herbivore,Plutella xylostella,Lepidoptera,young,chewer,specialist,H,39,6.078,0.264,15,5.342,0.209,15,Poelman,
40,4,Poelman et al,2008,Molecular Ecology,5.947,figure 4,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,1,young,chewer,specialist,JA_JA,controlled,local,leaves,leaves,mass,herbivore,Mamestra brassicae,Lepidoptera,young,chewer,generalist,H,40,6.063,0.403,15,4.604,0.353,15,Poelman,
41,5,Li et al ,2014,Oecologia,2.902,figure 2,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Brevicoryne brassicae,Hemiptera,1,adult,piercing-sucking,specialist,SA_JA,controlled,local,leaves,leaves,mass,herbivore,Mamestra brassicae,Lepidoptera,young,chewer,generalist,H,41,0.355,0.016,40,0.351,0.018,40,Li,
42,5,Li et al ,2014,Oecologia,2.902,figure 2,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Brevicoryne brassicae,Hemiptera,1,adult,piercing-sucking,specialist,SA_JA,controlled,local,leaves,leaves,mass,herbivore,Mamestra brassicae,Lepidoptera,young,chewer,generalist,H,42,0.371,0.02,40,0.327,0.013,40,Li,
43,5,Li et al ,2014,Oecologia,2.902,figure 2,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Brevicoryne brassicae,Hemiptera,1,adult,piercing-sucking,specialist,SA_JA,controlled,local,leaves,leaves,mass,herbivore,Mamestra brassicae,Lepidoptera,young,chewer,generalist,H,43,0.263,0.021,40,0.291,0.02,40,Li,
44,5,Li et al ,2014,Oecologia,2.902,figure 1,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Brevicoryne brassicae,Hemiptera,1,adult,piercing-sucking,specialist,SA_JA,controlled,local,leaves,leaves,mass,herbivore,Plutella xylostella,Lepidoptera,young,chewer,specialist,H,44,1.494,0.053,40,1.462,0.053,40,Li,
45,5,Li et al ,2014,Oecologia,2.902,figure 1,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Brevicoryne brassicae,Hemiptera,1,adult,piercing-sucking,specialist,SA_JA,controlled,local,leaves,leaves,mass,herbivore,Plutella xylostella,Lepidoptera,young,chewer,specialist,H,45,0.826,0.041,40,0.858,0.03,40,Li,
46,5,Li et al ,2014,Oecologia,2.902,figure 1,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Brevicoryne brassicae,Hemiptera,1,adult,piercing-sucking,specialist,SA_JA,controlled,local,leaves,leaves,mass,herbivore,Plutella xylostella,Lepidoptera,young,chewer,specialist,H,46,1.295,0.041,40,1.407,0.053,40,Li,
47,5,Li et al ,2014,Oecologia,2.902,figure 1,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Brevicoryne brassicae,Hemiptera,1,adult,piercing-sucking,specialist,SA_JA,controlled,local,leaves,leaves,mass,herbivore,Plutella xylostella,Lepidoptera,young,chewer,specialist,H,47,0.755,0.03,40,0.756,0.07,40,Li,
48,5,Li et al ,2014,Oecologia,2.902,figure 1,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Brevicoryne brassicae,Hemiptera,1,adult,piercing-sucking,specialist,SA_JA,controlled,local,leaves,leaves,mass,herbivore,Plutella xylostella,Lepidoptera,young,chewer,specialist,H,48,1.327,0.036,40,1.51,0.06,40,Li,
49,5,Li et al ,2014,Oecologia,2.902,figure 1,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Brevicoryne brassicae,Hemiptera,1,adult,piercing-sucking,specialist,SA_JA,controlled,local,leaves,leaves,mass,herbivore,Plutella xylostella,Lepidoptera,young,chewer,specialist,H,49,0.739,0.065,40,0.898,0.035,40,Li,
