Shimamoto,Koshida,Moreira,Santana,Zhou,Dong,Sciberras,Banks,Bugnot,StuartHaentjens
0.236842105,0.10903569,0.02792553,0.411529284,0.19921271,0.64,0.33772502,2.56562934,1.7595289,0.15120968
0.236842105,0.36163479,1.09767442,0.225876976,0.26252035,0.4031008,0.33772502,2.56562934,0.88127385,0.44444444
0.236842105,0.36163479,0.18747725,0.225876976,0.24611911,0.1898734,0.33772502,0.4503469,0.97492564,0.53164557
0.8,0.23570233,0.89166466,0.225876976,0.27346005,0.1935484,0.33772502,0.4503469,0.63745368,0.36458333
0.8,0.23570233,0.28921569,0.111478563,0.43436424,0.2474227,0.33772502,5.46728972,1.1448668,
0.8,0.23570233,0.07885582,0.111478563,0.19500036,0.0680272,0.33772502,0.5791377,0.86155849,
0.8,0.35913313,0.17253121,0.111478563,0.33738257,0.1904762,0.33772502,0.4503469,1.84786173,
0.8,0.2384904,0.39393939,0.522499594,0.06574964,0.3870968,0.33772502,0.76530612,0.68637099,
0.8,0.37470641,0.33041071,0.522499594,0.1639226,0.28,0.64285714,0.76530612,1.77616747,
0.8,0.5789186,0.27542373,0.522499594,0.27346005,0.1612903,0.64285714,0.76530612,1.03989183,
0.8,0.16036592,0.02497913,0.522499594,0.43436424,0.3103448,0.64285714,0.56803756,0.60944283,
0.571428571,0.3030303,0.02245726,0.148179399,0.19500036,0.0454545,0.64285714,0.76530612,0.15926489,
0.571428571,2.24094012,0.05144243,0.186323473,0.33738257,0.2112059,0.64285714,0.48793491,0.50063889,
0.571428571,1.00744555,0.03549488,2.960061134,0.06574964,0.1627282,0.64285714,0.48793491,,
0.571428571,1.00744555,0.04343534,2.960061134,0.1639226,0.0303197,0.64285714,0.48793491,,
0.571428571,1.25459368,0.06646874,2.960061134,0.05812221,0.315885,0.64285714,0.35714286,,
0.571428571,0.61048156,0.04507042,2.960061134,0.93690228,0.1012186,0.1361715,0.48793491,,
